vsits,alglekt,obsh,obsh,alg,alg,fk,fk
fiz,fiz,him,angl,lit,lit,,
,inf,inf,inf,anal,anal,obz,
angl,angl,anallekt,bio,rusist,,,
matprak,geomlekt,lit,rus,geom,geom,,
fiz,fiz,fiz,fiz,ml,,,
